Time,ZoneNumber,WHSLRRate,TimeLapse,Location,Customer,Formation
01/22/2019 16:34:23,1,9.8,0,123,ABC,EFG
01/22/2019 16:34:24,1,11.1,0.017,123,ABC,EFG
01/22/2019 16:34:25,1,11.7,0.033,123,ABC,EFG
01/22/2019 16:34:26,1,12,0.05,123,ABC,EFG
01/22/2019 16:34:27,1,12.2,0.067,123,ABC,EFG
01/22/2019 16:34:28,1,12.3,0.083,123,ABC,EFG
01/22/2019 16:34:29,1,12.3,0.1,123,ABC,EFG
01/22/2019 16:34:30,1,12.3,0.117,123,ABC,EFG
01/22/2019 16:34:31,1,12.3,0.133,123,ABC,EFG
01/22/2019 16:34:32,1,12.4,0.15,123,ABC,EFG
01/22/2019 16:34:33,1,12.4,0.167,123,ABC,EFG
01/22/2019 16:34:34,1,12.4,0.183,123,ABC,EFG
01/22/2019 16:34:35,1,12.5,0.2,123,ABC,EFG
01/22/2019 16:34:36,1,12.6,0.217,123,ABC,EFG
01/22/2019 16:34:37,1,12.8,0.233,123,ABC,EFG
01/22/2019 16:34:38,1,12.9,0.25,123,ABC,EFG
01/22/2019 16:34:39,1,13,0.267,123,ABC,EFG
01/22/2019 16:34:40,1,13.1,0.283,123,ABC,EFG
01/22/2019 16:34:41,1,13.2,0.3,123,ABC,EFG
01/22/2019 16:34:42,1,13.2,0.317,123,ABC,EFG
01/22/2019 16:34:43,1,13.3,0.333,123,ABC,EFG
01/22/2019 16:34:44,1,13.3,0.35,123,ABC,EFG
01/22/2019 16:34:45,1,13.4,0.367,123,ABC,EFG
01/22/2019 16:34:46,1,13.5,0.383,123,ABC,EFG
01/22/2019 16:34:47,1,13.6,0.4,123,ABC,EFG
01/22/2019 16:34:48,1,13.6,0.417,123,ABC,EFG
01/22/2019 16:34:49,1,13.7,0.433,123,ABC,EFG
01/22/2019 16:34:50,1,13.7,0.45,123,ABC,EFG
01/22/2019 16:34:51,1,13.7,0.467,123,ABC,EFG
01/22/2019 16:34:52,1,13.7,0.483,123,ABC,EFG
01/22/2019 16:34:53,1,13.7,0.5,123,ABC,EFG
01/22/2019 16:34:54,1,13.8,0.517,123,ABC,EFG
01/22/2019 16:34:55,1,13.8,0.533,123,ABC,EFG
01/22/2019 16:34:56,1,13.9,0.55,123,ABC,EFG
01/22/2019 16:34:57,1,13.8,0.567,123,ABC,EFG
01/22/2019 16:34:58,1,13.9,0.583,123,ABC,EFG
01/22/2019 16:34:59,1,13.8,0.6,123,ABC,EFG
01/22/2019 16:35:00,1,13.9,0.617,123,ABC,EFG
01/22/2019 16:35:01,1,13.9,0.633,123,ABC,EFG
01/22/2019 16:35:02,1,13.9,0.65,123,ABC,EFG
01/22/2019 16:35:03,1,14,0.667,123,ABC,EFG
01/22/2019 16:35:04,1,14,0.683,123,ABC,EFG
01/22/2019 16:35:05,1,13.9,0.7,123,ABC,EFG
01/22/2019 16:35:06,1,13.9,0.717,123,ABC,EFG
01/22/2019 16:35:07,1,13.9,0.733,123,ABC,EFG
01/22/2019 16:35:08,1,13.9,0.75,123,ABC,EFG
01/22/2019 16:35:09,1,13.9,0.767,123,ABC,EFG
01/22/2019 16:35:10,1,13.9,0.783,123,ABC,EFG
01/22/2019 16:35:11,1,13.9,0.8,123,ABC,EFG
01/22/2019 16:35:12,1,13.9,0.817,123,ABC,EFG
01/22/2019 16:35:13,1,13.9,0.833,123,ABC,EFG
01/22/2019 16:35:14,1,13.9,0.85,123,ABC,EFG
01/22/2019 16:35:15,1,13.9,0.867,123,ABC,EFG
01/22/2019 16:35:16,1,13.9,0.883,123,ABC,EFG
01/22/2019 16:35:17,1,13.9,0.9,123,ABC,EFG
01/22/2019 16:35:18,1,13.9,0.917,123,ABC,EFG
01/22/2019 16:35:19,1,13.9,0.933,123,ABC,EFG
01/22/2019 16:35:20,1,13.9,0.95,123,ABC,EFG
01/22/2019 16:35:21,1,13.9,0.967,123,ABC,EFG
01/22/2019 16:35:22,1,13.9,0.983,123,ABC,EFG
01/22/2019 16:35:23,1,13.9,1,123,ABC,EFG
01/22/2019 16:35:24,1,13.9,1.017,123,ABC,EFG
01/22/2019 16:35:25,1,13.9,1.033,123,ABC,EFG
01/22/2019 16:35:26,1,14,1.05,123,ABC,EFG
01/22/2019 16:35:27,1,14,1.067,123,ABC,EFG
01/22/2019 16:35:28,1,13.9,1.083,123,ABC,EFG
01/22/2019 16:35:29,1,14,1.1,123,ABC,EFG
01/22/2019 16:35:30,1,14,1.117,123,ABC,EFG
01/22/2019 16:35:31,1,14.1,1.133,123,ABC,EFG
01/22/2019 16:35:32,1,14.1,1.15,123,ABC,EFG
01/22/2019 16:35:33,1,14.1,1.167,123,ABC,EFG
01/22/2019 16:35:34,1,14.1,1.183,123,ABC,EFG
01/22/2019 16:35:35,1,14.1,1.2,123,ABC,EFG
01/22/2019 16:35:36,1,14.1,1.217,123,ABC,EFG
01/22/2019 16:35:37,1,14.1,1.233,123,ABC,EFG
01/22/2019 16:35:38,1,14.1,1.25,123,ABC,EFG
01/22/2019 16:35:39,1,14.1,1.267,123,ABC,EFG
01/22/2019 16:35:40,1,14.1,1.283,123,ABC,EFG
01/22/2019 16:35:41,1,14,1.3,123,ABC,EFG
01/22/2019 16:35:42,1,14,1.317,123,ABC,EFG
01/22/2019 16:35:43,1,14,1.333,123,ABC,EFG
01/22/2019 16:35:44,1,14,1.35,123,ABC,EFG
01/22/2019 16:35:45,1,14,1.367,123,ABC,EFG
01/22/2019 16:35:46,1,14.1,1.383,123,ABC,EFG
01/22/2019 16:35:47,1,14.1,1.4,123,ABC,EFG
01/22/2019 16:35:48,1,14.1,1.417,123,ABC,EFG
01/22/2019 16:35:49,1,14.1,1.433,123,ABC,EFG
01/22/2019 16:35:50,1,14.1,1.45,123,ABC,EFG
01/22/2019 16:35:51,1,14,1.467,123,ABC,EFG
01/22/2019 16:35:52,1,14,1.483,123,ABC,EFG
01/22/2019 16:35:53,1,14,1.5,123,ABC,EFG
01/22/2019 16:35:54,1,14,1.517,123,ABC,EFG
01/22/2019 16:35:55,1,14,1.533,123,ABC,EFG
01/22/2019 16:35:56,1,14,1.55,123,ABC,EFG
01/22/2019 16:35:57,1,14,1.567,123,ABC,EFG
01/22/2019 16:35:58,1,14,1.583,123,ABC,EFG
01/22/2019 16:35:59,1,14.1,1.6,123,ABC,EFG
01/22/2019 16:36:00,1,14.1,1.617,123,ABC,EFG
01/22/2019 16:36:01,1,14.1,1.633,123,ABC,EFG
01/22/2019 16:36:02,1,14.1,1.65,123,ABC,EFG
01/22/2019 16:36:03,1,14.1,1.667,123,ABC,EFG
01/22/2019 16:36:04,1,14.1,1.683,123,ABC,EFG
01/22/2019 16:36:05,1,14.1,1.7,123,ABC,EFG
01/22/2019 16:36:06,1,14.1,1.717,123,ABC,EFG
01/22/2019 16:36:07,1,14,1.733,123,ABC,EFG
01/22/2019 16:36:08,1,14,1.75,123,ABC,EFG
01/22/2019 16:36:09,1,14.1,1.767,123,ABC,EFG
01/22/2019 16:36:10,1,14.1,1.783,123,ABC,EFG
01/22/2019 16:36:11,1,14.1,1.8,123,ABC,EFG
01/22/2019 16:36:12,1,14,1.817,123,ABC,EFG
01/22/2019 16:36:13,1,14,1.833,123,ABC,EFG
01/22/2019 16:36:14,1,14.1,1.85,123,ABC,EFG
01/22/2019 16:36:15,1,14.1,1.867,123,ABC,EFG
01/22/2019 16:36:16,1,14.1,1.883,123,ABC,EFG
01/22/2019 16:36:17,1,14.1,1.9,123,ABC,EFG
01/22/2019 16:36:18,1,14.1,1.917,123,ABC,EFG
01/22/2019 16:36:19,1,14,1.933,123,ABC,EFG
01/22/2019 16:36:20,1,14,1.95,123,ABC,EFG
01/22/2019 16:36:21,1,14,1.967,123,ABC,EFG
01/22/2019 16:36:22,1,14.1,1.983,123,ABC,EFG
01/22/2019 16:36:23,1,14,2,123,ABC,EFG
01/22/2019 16:36:24,1,14.1,2.017,123,ABC,EFG
01/22/2019 16:36:25,1,14.1,2.033,123,ABC,EFG
01/22/2019 16:36:26,1,14.1,2.05,123,ABC,EFG
01/22/2019 16:36:27,1,14.1,2.067,123,ABC,EFG
01/22/2019 16:36:28,1,14.1,2.083,123,ABC,EFG
01/22/2019 16:36:29,1,14.1,2.1,123,ABC,EFG
01/22/2019 16:36:30,1,14.1,2.117,123,ABC,EFG
01/22/2019 16:36:31,1,14,2.133,123,ABC,EFG
01/22/2019 16:36:32,1,14.1,2.15,123,ABC,EFG
01/22/2019 16:36:33,1,14.1,2.167,123,ABC,EFG
01/22/2019 16:36:34,1,14.1,2.183,123,ABC,EFG
01/22/2019 16:36:35,1,14.1,2.2,123,ABC,EFG
01/22/2019 16:36:36,1,14.1,2.217,123,ABC,EFG
01/22/2019 16:36:37,1,14.1,2.233,123,ABC,EFG
01/22/2019 16:36:38,1,14,2.25,123,ABC,EFG
01/22/2019 16:36:39,1,14,2.267,123,ABC,EFG
01/22/2019 16:36:40,1,14,2.283,123,ABC,EFG
01/22/2019 16:36:41,1,14,2.3,123,ABC,EFG
01/22/2019 16:36:42,1,14,2.317,123,ABC,EFG
01/22/2019 16:36:43,1,14.1,2.333,123,ABC,EFG
01/22/2019 16:36:44,1,14,2.35,123,ABC,EFG
01/22/2019 16:36:45,1,14,2.367,123,ABC,EFG
01/22/2019 16:36:46,1,14,2.383,123,ABC,EFG
01/22/2019 16:36:47,1,14,2.4,123,ABC,EFG
01/22/2019 16:36:48,1,14,2.417,123,ABC,EFG
01/22/2019 16:36:49,1,14.1,2.433,123,ABC,EFG
01/22/2019 16:36:50,1,14.1,2.45,123,ABC,EFG
01/22/2019 16:36:51,1,14,2.467,123,ABC,EFG
01/22/2019 16:36:52,1,14,2.483,123,ABC,EFG
01/22/2019 16:36:53,1,14,2.5,123,ABC,EFG
